ZCTA,Total
10001,"26,966"
10002,"76,807"
10003,"54,447"
10004,"4,795"
10005,"8,637"
10006,"3,894"
10007,"8,194"
10009,"60,000"
10010,"33,193"
10011,"51,867"
10012,"22,269"
10013,"29,563"
10014,"29,815"
10016,"56,758"
10017,"15,514"
10018,"8,063"
10019,"43,989"
10021,"42,484"
10022,"33,303"
10023,"65,891"
10024,"63,916"
10025,"96,918"
10026,"39,401"
10027,"65,840"
10028,"47,793"
10029,"77,661"
10030,"31,611"
10031,"61,801"
10032,"60,529"
10033,"60,739"
10034,"43,365"
10035,"37,042"
10036,"30,437"
10037,"19,374"
10038,"23,356"
10039,"27,234"
10040,"45,771"
10044,"12,155"
10065,"31,270"
10069,"5,774"
10075,"23,391"
10128,"58,147"
10280,"8,582"
10282,"6,419"
10301,"38,736"
10302,"18,144"
10303,"27,469"
10304,"43,849"
10305,"44,531"
10306,"55,805"
10307,"14,828"
10308,"30,353"
10309,"35,832"
10310,"25,976"
10312,"63,935"
10314,"93,736"
10451,"50,118"
10452,"79,838"
10453,"80,393"
10454,"38,908"
10455,"42,781"
10456,"90,314"
10457,"79,443"
10458,"86,757"
10459,"51,303"
10460,"59,979"
10461,"52,756"
10462,"78,470"
10463,"73,256"
10464,"4,417"
10465,"46,205"
10466,"75,767"
10467,"102,209"
10468,"82,480"
10469,"75,290"
10470,"16,446"
10471,"23,387"
10472,"66,720"
10473,"60,296"
10474,"11,312"
10475,"44,509"
11004,"16,426"
11101,"33,789"
11102,"27,876"
11103,"35,912"
11104,"27,575"
11105,"38,311"
11106,"40,472"
11109,"6,712"
11201,"68,777"
11203,"79,499"
11204,"82,140"
11205,"50,681"
11206,"90,903"
11207,"97,690"
11208,"107,724"
11209,"72,938"
11210,"65,854"
11211,"65,925"
11212,"78,296"
11213,"69,392"
11214,"95,361"
11215,"73,419"
11216,"62,210"
11217,"42,107"
11218,"76,370"
11219,"93,119"
11220,"93,584"
11221,"89,728"
11222,"39,669"
11223,"83,565"
11224,"48,110"
11225,"59,465"
11226,"99,776"
11228,"45,267"
11229,"85,538"
11230,"91,789"
11231,"40,311"
11232,"28,501"
11233,"85,633"
11234,"94,254"
11235,"84,859"
11236,"102,238"
11237,"50,590"
11238,"58,597"
11239,"15,917"
11354,"53,375"
11355,"80,918"
11356,"27,295"
11357,"44,030"
11358,"38,103"
11360,"20,076"
11361,"30,006"
11362,"19,217"
11363,"7,424"
11364,"39,015"
11365,"45,439"
11366,"13,922"
11367,"42,362"
11368,"116,469"
11369,"31,550"
11370,"29,780"
11372,"67,252"
11373,"102,104"
11374,"47,019"
11375,"76,091"
11377,"85,255"
11378,"39,994"
11379,"39,805"
11385,"109,111"
11411,"21,605"
11412,"41,782"
11413,"45,661"
11414,"30,915"
11415,"20,351"
11416,"27,098"
11417,"33,236"
11418,"38,938"
11419,"50,107"
11420,"51,831"
11421,"42,704"
11422,"34,063"
11423,"30,983"
11426,"20,959"
11427,"25,890"
11428,"21,184"
11429,"28,643"
11432,"64,858"
11433,"41,396"
11434,"66,424"
11435,"60,842"
11436,"21,248"
11691,"70,797"
11692,"24,639"
11693,"14,147"
11694,"22,432"
11697,"3,782"
